Station,Occurrence,Latitude,Longitude
3014,4547,34.0566101,-118.23721
3016,1940,34.0528984,-118.24156
3032,2451,34.0498886,-118.25588
3021,1254,34.0456085,-118.23703
3022,3858,34.0460701,-118.23308999999999
3076,1891,34.040599799999995,-118.25384
3031,4594,34.0447006,-118.25243999999999
3063,2920,34.0491982,-118.25283
3042,3980,34.0493011,-118.23881000000002
3018,1199,34.0437317,-118.26013999999999
3054,861,34.0392189,-118.23648999999999
3006,2678,34.045539899999994,-118.25667
3037,1149,34.0348015,-118.23128
3034,3024,34.0420609,-118.26338
3005,4851,34.0485497,-118.25905
3047,2201,34.0399818,-118.2664
3040,1012,34.0535698,-118.26636
3066,1410,34.0633888,-118.23616000000001
3033,705,34.040988899999995,-118.2558
3030,5037,34.0519409,-118.24353
3051,2037,34.045421600000005,-118.25352
3019,1898,34.0386086,-118.26086000000001
3055,3245,34.0441589,-118.25158
3065,983,34.0605583,-118.23833
3068,3232,34.053199799999994,-118.25095
3007,2765,34.0504799,-118.25459
3052,2229,34.051101700000004,-118.26456
3049,3135,34.056968700000006,-118.25358999999999
3075,2113,34.0421104,-118.25618999999999
3067,3775,34.045181299999996,-118.25023999999999
3020,525,34.0310516,-118.26709
3035,3394,34.0484009,-118.26095
3062,2268,34.047748600000006,-118.24316999999999
3058,1786,34.0358009,-118.23317
3045,185,34.028511,-118.25667
3080,190,34.034210200000004,-118.25459
3038,3282,34.0468216,-118.24835
3053,13,34.0400391,-118.26302
3069,5091,34.0508804,-118.24825
3036,1142,34.03918839999999,-118.23253000000001
3079,686,34.0501404,-118.23324
3060,378,34.0348816,-118.25769
3008,2136,34.046611799999994,-118.26273
3056,1456,34.03746029999999,-118.26538000000001
3029,1891,34.048851,-118.24642
3028,1174,34.0583191,-118.24609
3023,1964,34.0509109,-118.24096999999999
3025,619,34.0328598,-118.26808
3074,2327,34.0441704,-118.26116999999999
3057,374,34.0356789,-118.27081000000001
3027,2541,34.0499802,-118.24716000000001
3026,1548,34.063179,-118.24588
3078,868,34.0642815,-118.23893999999999
3077,793,34.03987120000001,-118.25003999999998
3059,739,34.0379486,-118.25627
3010,427,34.037048299999995,-118.25487
3064,4614,34.0468102,-118.25698
3046,1338,34.0530205,-118.24795
3011,1244,34.041130100000004,-118.26798000000001
3048,2975,34.0416908,-118.23535
3081,592,34.0318909,-118.25018
3024,1637,34.057720200000006,-118.24897
3082,3859,34.0465202,-118.23741000000001
4108,76,34.025890000000004,-118.238243
3009,55,33.987381,-118.47283200000001
3039,115,34.024479,-118.39386699999999
