Station,Occurrence,Latitude,Longitude
3014,5382,34.0566101,-118.23721
3016,1906,34.0528984,-118.24156
3032,2778,34.0498886,-118.25588
3054,840,34.0392189,-118.23648999999999
3005,6261,34.0485497,-118.25905
3031,5517,34.0447006,-118.25243999999999
3078,883,34.0642815,-118.23893999999999
3047,1993,34.0399818,-118.2664
3030,4222,34.0519409,-118.24353
3018,1402,34.0437317,-118.26013999999999
3076,1958,34.040599799999995,-118.25384
3033,778,34.040988899999995,-118.2558
3007,1993,34.0504799,-118.25459
3063,3763,34.0491982,-118.25283
3068,983,34.053199799999994,-118.25095
3019,2175,34.0386086,-118.26086000000001
3052,1493,34.051101700000004,-118.26456
3021,1489,34.0456085,-118.23703
3037,1427,34.0348015,-118.23128
3006,2823,34.045539899999994,-118.25667
3042,5293,34.0493011,-118.23881000000002
3036,1422,34.03918839999999,-118.23253000000001
3053,12,34.0400391,-118.26302
3065,1016,34.0605583,-118.23833
3035,3512,34.0484009,-118.26095
3028,521,34.0583191,-118.24609
3022,4335,34.0460701,-118.23308999999999
3055,2458,34.0441589,-118.25158
3058,1940,34.0358009,-118.23317
3051,1939,34.045421600000005,-118.25352
3038,3194,34.0468216,-118.24835
3075,2275,34.0421104,-118.25618999999999
3067,3478,34.045181299999996,-118.25023999999999
3040,737,34.0535698,-118.26636
3049,2488,34.056968700000006,-118.25358999999999
3066,1203,34.0633888,-118.23616000000001
3062,2198,34.047748600000006,-118.24316999999999
3020,604,34.0310516,-118.26709
3034,3028,34.0420609,-118.26338
3080,178,34.034210200000004,-118.25459
3045,319,34.028511,-118.25667
3056,1481,34.03746029999999,-118.26538000000001
3079,717,34.0501404,-118.23324
3008,2242,34.046611799999994,-118.26273
3060,389,34.0348816,-118.25769
3069,5069,34.0508804,-118.24825
3029,1398,34.048851,-118.24642
3023,2495,34.0509109,-118.24096999999999
3074,2361,34.0441704,-118.26116999999999
3026,1212,34.063179,-118.24588
3057,399,34.0356789,-118.27081000000001
3027,1861,34.0499802,-118.24716000000001
3025,713,34.0328598,-118.26808
3077,811,34.03987120000001,-118.25003999999998
3059,722,34.0379486,-118.25627
3010,412,34.037048299999995,-118.25487
3064,4602,34.0468102,-118.25698
3046,1134,34.0530205,-118.24795
3011,1491,34.041130100000004,-118.26798000000001
3048,3156,34.0416908,-118.23535
3081,644,34.0318909,-118.25018
3024,760,34.057720200000006,-118.24897
3082,4701,34.0465202,-118.23741000000001
4108,107,34.025890000000004,-118.238243
3009,68,33.987381,-118.47283200000001
3039,115,34.024479,-118.39386699999999
